S/N,Source Name,Data Link,Source Website,Country / Coverage,Link Description,Source Type,Industry,Institution Name,Available Formats,Access Type,Update Frequency,Last Updated (latest data seen),Notes,Category,Data Granularity,Language,API Available,Link Status,Priority for Platform
22,African Union - Documents and Data,https://au.int/en/documents,https://au.int/,Africa (55 member states),"Official African Union treaties, decisions, reports, Agenda 2063 progress reports and continental statistical publications.",International / Continental body,Governance / Multiple,African Union Commission,"PDF, Online",Free access,Continuous,2026,Primary source for AU policy documents and Agenda 2063 monitoring.,Pan-African Source,Country-level,English and French,No,Live,High
23,AUDA-NEPAD,https://www.nepad.org/,https://www.nepad.org/,Africa,"Development agency of the African Union with programme data, country impact assessments, infrastructure project pipelines and Agenda 2063 flagship monitoring.",International / Continental body,Development / Infrastructure,African Union Development Agency (AUDA-NEPAD),"PDF, Online",Free access,Continuous,2025,Best source for the PIDA infrastructure project pipeline across Africa.,Pan-African Source,Country-level,English and French,No,Live,High
24,Afrobarometer - Data,https://www.afrobarometer.org/data/,https://www.afrobarometer.org/,Africa (39+ countries),"Pan-African public attitude survey on democracy, governance, economy, corruption, service delivery and quality of life, with nationally representative microdata from 1999.",Academic / Research institute,Governance / Public opinion,Afrobarometer,"CSV, SPSS, Stata, Online",Free access,Every 2-3 years (round-based),2026,The definitive African public opinion dataset. Online analysis tool plus full microdata download.,Pan-African Source,Microdata (household / firm level),English and French,No,Live,High
25,Afrobarometer - Online Data Analysis Tool,https://www.afrobarometer.org/online-data-analysis/,https://www.afrobarometer.org/,Africa (39+ countries),Browser-based cross-tabulation and comparison tool for Afrobarometer survey results without needing statistical software.,Academic / Research institute,Governance / Public opinion,Afrobarometer,"Online, PNG/JPG, Excel",Free access,Round-based,2026,Lets non-technical users build African attitude comparisons directly.,Pan-African Source,Country-level,English and French,No,Live,High
26,AGRA - Africa Agriculture Status Report,https://agra.org/aasr/,https://agra.org/,Africa,"Annual flagship report on African agricultural transformation with country data on productivity, input use, markets and policy.",NGO / Non-profit research,Agriculture,Alliance for a Green Revolution in Africa,"PDF, Online",Free access,Annual,2024,,Pan-African Source,Country-level,English and French,No,Live,High
27,Arab Maghreb Union (UMA),https://maghrebarabe.org/,https://maghrebarabe.org/,North Africa (5 member states),Maghreb regional integration documents and limited regional statistics.,International / Regional body,Integration,Arab Maghreb Union,"PDF, Online",Free access,Irregular,2026,Institution is largely dormant - use national sources for the Maghreb.,Pan-African Source,Country-level,English and French,No,Live,High
28,ACLED - Conflict Data Downloads,https://acleddata.com/data/,https://acleddata.com/,Global (strong Africa coverage),"Event-level data on political violence, protests and riots with date, location, actors and fatalities - Africa coverage runs from 1997 and is the deepest available anywhere.",NGO / Non-profit research,Conflict / Security,Armed Conflict Location & Event Data Project (ACLED),"CSV, Excel, Online, API",Free but requires signup (non-commercial); paid for commercial use,Weekly,2026,The definitive African conflict dataset. Corrected link - the old download-data-files path has been retired. Commercial use on a platform needs a licence.,Pan-African Source,Country-level,English,Yes,Live,High
29,Atlas Magazine - Africa Insurance Market,https://www.atlas-mag.net/en,https://www.atlas-mag.net/,Africa and Middle East,"Insurance market statistics, premium data and company rankings across African and Middle Eastern markets.",Private (Media),Insurance,Atlas Magazine,"Online, PDF",Partial free access,Annual,2026,,Pan-African Source,Sub-national,English and French,No,Live,High
30,Boston University - Chinese Loans to Africa Database,https://www.bu.edu/gdp/chinese-loans-to-africa-database/,https://www.bu.edu/gdp/,Africa,"Loan-level database of Chinese lending commitments to African governments and state-owned enterprises from 2000 onward, by country, sector and lender.",Academic / Research institute,Finance / Debt,Boston University Global Development Policy Center,"Excel, Online",Free access,Annual,2025,The standard open dataset on Chinese lending to Africa. Successor to the SAIS-CARI database.,Pan-African Source,Country-level,English and French,No,Live,High
31,Briter Bridges / Briter Intelligence,https://www.briter.co/,https://briterbridges.com/,Africa,"African innovation and startup ecosystem intelligence: funding deals, company directories, ecosystem maps and sector reports.",Private,Venture capital / Startups,Briter Bridges,"PDF, Online, Excel (paid)",Partial free access,Continuous,2026,Strong company-level directory data for African tech. CORRECTED: Briter Bridges now trades as Briter; briterbridges.com redirects to briter.co.,Pan-African Source,Country-level,English and French,No,Live,High
32,Brookings - Africa Growth Initiative,https://www.brookings.edu/topic/sub-saharan-africa/,https://www.brookings.edu/,Africa,"Foresight Africa annual report and research on African growth, trade, demography, urbanisation and development finance.",Academic / Research institute,Economy / Development,Brookings Institution,"PDF, Excel, Online",Free access,Annual,2026,Foresight Africa (published each January) is a useful annual synthesis with data annexes.,Pan-African Source,Country-level,English and French,No,Live,High
33,CEMAC Commission,https://www.cemac.int/,https://www.cemac.int/,Central Africa (6 member states),"Central African Economic and Monetary Community policy documents, convergence reports and regional statistics.",International / Regional body,Macroeconomics / Integration,CEMAC Commission,"PDF, Online",Free access,Annual,2026,Pair with BEAC's statistical database for the underlying series.,Pan-African Source,Country-level,English and French,No,Live,High
34,Centre for Affordable Housing Finance in Africa (CAHF),https://housingfinanceafrica.org/,https://housingfinanceafrica.org/,Africa (55 countries),"The Africa Housing Finance Yearbook plus housing affordability calculators, mortgage market data and country housing profiles for every African country.",NGO / Non-profit research,Real estate / Housing finance,Centre for Affordable Housing Finance in Africa,"PDF, Excel, Online",Free access,Annual,2026,The only comprehensive Africa-wide housing and mortgage market dataset. Highly recommended.,Pan-African Source,Country-level,English and French,No,Live,High
35,Code for Africa - openAFRICA Data Hub,https://openafricadatahub.org/,https://codeforafrica.org/,Africa,"Curated collection of African datasets with visual explorers, spanning health, governance, elections, infrastructure and media.",NGO / Civic tech,Multiple,Code for Africa,"CSV, Excel, Online",Free access,Continuous,2026,"Companion to openAFRICA with a stronger editorial curation layer. Automated check was blocked by the site (bot protection, TLS or robots.txt) on 18 Sep 2026; the page opens normally in a browser.",Pan-African Source,Country-level,English and French,No,Live - auto-check blocked,High
36,openAFRICA,https://open.africa/,https://open.africa/,Africa,"The continent's largest independent open data repository with ~7,000 datasets contributed by governments, media and civil society.",NGO / Civic tech,Multiple,Code for Africa,"CSV, Excel, JSON, API",Free access,Continuous,2026,CKAN-based with a full API - one of the easiest African sources to integrate programmatically.,Pan-African Source,Country-level,English and French,Yes,Live,High
37,openAFRICA - Nigeria Datasets,https://open.africa/dataset?tags=Nigeria,https://open.africa/,Nigeria,Open datasets tagged Nigeria on the continent's largest independent open data repository.,NGO / Civic tech,Multiple,Code for Africa,"CSV, Excel, JSON, API",Free access,At will,2023,Cleaned link - the sheet's URL carried a text-fragment anchor.,National Source - Nigeria,Country-level,English,Yes,Live,Medium-High
38,COMESA - Statistics (COMSTAT),https://comstat.comesa.int/,https://www.comesa.int/,Eastern and Southern Africa (21 member states),"COMESA regional statistical database with trade, production, price, demographic and investment indicators.",International / Regional body,Trade / Macroeconomics,Common Market for Eastern and Southern Africa,"Excel, CSV, Online",Free access,Annual / Quarterly,2026,"Strong on intra-COMESA trade flows. Automated check was blocked by the site (bot protection, TLS or robots.txt) on 18 Sep 2026; the page opens normally in a browser.",Pan-African Source,Country-level,English,No,Live - auto-check blocked,High
39,PASEC - Francophone Africa Learning Assessment,https://www.pasec.confemen.org/,https://www.confemen.org/,Francophone Africa,Standardised learning assessment results for primary education across francophone African countries.,International / Regional body,Education,CONFEMEN / PASEC,"PDF, Excel, Online",Free access,Every ~5 years,2024,One of the few comparable learning outcome datasets for francophone Africa.,Pan-African Source,Country-level,English,No,Live,High
40,DataLab Africa,https://datalabafrica.com/datasets,https://datalabafrica.com/,Africa,Curated African datasets prepared for machine learning and analytics applications.,Private,Multiple / AI,DataLab Africa,"CSV, Online",Free access,At will,2026,Aimed at ML practitioners - datasets are pre-cleaned.,Pan-African Source,Country-level,English and French,No,Live,High
41,Observatory of Economic Complexity (OEC),https://oec.world/,https://oec.world/,Global,"Visual trade data platform with product-level exports and imports, economic complexity rankings and trade partner profiles for all African economies.",Private,Trade,Datawheel / OEC,"CSV, PNG/JPG, SVG, Online, API",Partial free access,Annual,2026,Excellent visualisations of African export baskets. Bulk download requires a paid plan.,Pan-African Source,Country-level,English,Yes,Live,High
42,Datawise Africa,https://datawiseafrica.com/,https://datawiseafrica.com/,Africa,African data services and curated datasets for business and development analysis.,Private,Multiple,Datawise Africa,Online,Free access,At will,2026,,Pan-African Source,Country-level,English and French,No,Live,High
43,Dateno - Africa Data Catalogue Registry,https://dateno.io/registry/country/Africa/,https://dateno.io/,Africa,Registry indexing thousands of data catalogues and portals across African countries - a directory of directories.,Private,Reference / Directory,Dateno,"Online, API",Free access,Continuous,2026,Very useful for discovering national and sub-national African portals you would otherwise miss.,Pan-African Source,Sub-national,English and French,Yes,Live,High
44,Digital Earth Africa,https://www.digitalearthafrica.org/,https://www.digitalearthafrica.org/,Africa (continental),"Free, analysis-ready satellite Earth observation data for all of Africa: land cover, water bodies, cropland, coastlines and change detection.",International / Non-profit,Geospatial / Environment,Digital Earth Africa,"GeoTIFF, COG, API, Online",Free access,Continuous,2025,The best free continental-scale African satellite data service. Full open API and sandbox.,Pan-African Source,Country-level,English and French,Yes,Live,High
45,Disrupt Africa,https://old.disruptafrica.com/,https://disrupt-africa.com/,Africa,"African tech startup news plus annual funding reports covering deal counts, values and sector breakdowns.",Private (Media),Startups / Technology,Disrupt Africa,"PDF, Online",Partial free access,Annual,2024,The African Tech Startups Funding Report is a paid but affordable series. NOTE: the main domain currently redirects to an archive host. Content is intact but the site appears to be mid-migration.,Pan-African Source,Country-level,English and French,No,Live,High
46,East African Community (EAC),https://www.eac.int/,https://www.eac.int/,East Africa (8 partner states),"EAC regional integration data, trade statistics, facts and figures reports and common market implementation scorecards.",International / Regional body,Trade / Integration,East African Community,"PDF, Excel, Online",Free access,Annual,2026,The EAC Facts and Figures report is the key regional statistical compendium.,Pan-African Source,Country-level,English and French,No,Live,High
47,ECCAS / CEEAC,https://ceeac-eccas.org/,https://ceeac-eccas.org/,Central Africa (11 member states),"Economic Community of Central African States regional integration programmes, policy documents and reporting.",International / Regional body,Integration / Multiple,Economic Community of Central African States,"PDF, Online",Free access,Continuous,2026,"Statistical output is thin relative to other RECs. Automated check was blocked by the site (bot protection, TLS or robots.txt) on 18 Sep 2026; the page opens normally in a browser.",Pan-African Source,Country-level,English and French,No,Live - auto-check blocked,High
48,ECOWAS Commission,https://ecowas.int/,https://ecowas.int/,West Africa (15 countries),"Official ECOWAS portal with regional policy documents, communiques, protocols and community programme reporting.",International / Regional body,Multiple,Economic Community of West African States,"PDF, Online",Free access,Continuous,2026,,Pan-African Source,Country-level,English and French,No,Live,High
49,ECOWAS - ECOSTAT Regional Statistics,https://ecowas.int/,https://ecowas.int/,West Africa (15 countries),"Harmonised West African regional statistics: national accounts, prices, trade, demography and convergence indicators.",International / Regional body,Macroeconomics / Multiple,ECOWAS Statistical Office (ECOSTAT),"Excel, PDF, Online",Free access,Annual / Quarterly,2026,The regional harmonised series for West Africa - useful where national portals diverge. CORRECTED: the ecostat.ecowas.int host no longer resolves. ECOWAS statistics are published through the main ECOWAS site and the AfDB Africa Information Highway.,Pan-African Source,Country-level,English and French,No,Live,High
50,FEWS NET - Data Center,https://fews.net/data,https://fews.net/,"Africa, Latin America, Asia","Famine early warning data: acute food insecurity classifications, price bulletins, rainfall and market data with the deepest coverage in Africa.",Official / Government (USAID),Food security,Famine Early Warning Systems Network,"CSV, Shapefile, PDF, Online, API",Free access,Monthly / Quarterly,2026,"IPC-compatible classifications with downloadable shapefiles - excellent for African food security mapping. Automated check was blocked by the site (bot protection, TLS or robots.txt) on 18 Sep 2026; the page opens normally in a browser.",Pan-African Source,Country-level,English and French,Yes,Live - auto-check blocked,High
51,Gavi - Country Data and Reporting,https://www.gavi.org/programmes-impact/country-hub,https://www.gavi.org/,Global (deep Africa coverage),"Immunisation programme funding, coverage and country-level performance data for Gavi-supported African countries.",International,Health / Immunisation,"Gavi, the Vaccine Alliance","PDF, Excel, Online",Free access,Annual,2026,,Pan-African Source,Country-level,English,No,Live,High
52,GRID3,https://grid3.org/,https://grid3.org/,Africa (selected countries),"Geo-referenced infrastructure, settlement and population data for African countries including Nigeria, DRC, Zambia and Ghana.",International / Non-profit,Geospatial / Population,"GRID3 (Columbia University, UNFPA, Flowminder)","Shapefile, GeoTIFF, CSV, API",Free access,Periodic,2025,Settlement-level African boundary and infrastructure layers.,Pan-African Source,Country-level,English and French,Yes,Live,High
53,GSMA - Mobile Connectivity Index,https://www.mobileconnectivityindex.com/,https://www.gsma.com/,Global,"Index scoring countries on mobile infrastructure, affordability, consumer readiness and content and services, with all African markets scored.",Private / Industry association,Telecoms / Digital inclusion,GSMA,"Excel, Online",Free access,Annual,2026,Useful for benchmarking African digital readiness.,Global / Multi-region Source,Country-level,English,No,Live,Medium-High
54,GSMA - Mobile Money Metrics,https://www.gsma.com/sotir/mobile-money-metrics/,https://www.gsma.com/,Global (Africa dominant),"Global mobile money dataset: registered and active accounts, transaction volumes and values, agent networks - sub-Saharan Africa is the largest region.",Private / Industry association,Fintech / Mobile money,GSMA,"Excel, PDF, Online",Free access,Annual,2026,"The State of the Industry Report on Mobile Money is the reference series for African mobile money. Automated check was blocked by the site (bot protection, TLS or robots.txt) on 18 Sep 2026; the page opens normally in a browser.",Pan-African Source,Sub-national,English,No,Live - auto-check blocked,High
55,GSMA Intelligence,https://www.gsmaintelligence.com/,https://www.gsma.com/,Global (Africa reports free),"Mobile industry data: connections, subscribers, smartphone adoption, 4G/5G coverage and mobile economy contribution, with annual Mobile Economy Africa reports.",Private / Industry association,Telecoms / Mobile,GSMA,"PDF, Excel, Online",Partial free access,Annual / Quarterly,2026,The Mobile Economy Africa report is free; the underlying database is a paid subscription. Best African mobile market data available.,Pan-African Source,Country-level,English,No,Live,High
56,RemitSCOPE Africa,https://remitscope.org/,https://remitscope.org/,Africa,"Remittance market data and country profiles for African markets: volumes, corridors, costs, regulation and provider landscape.",International,Remittances / Financial inclusion,IFAD (International Fund for Agricultural Development),"PDF, Online, Excel",Free access,Annual,2025,Purpose-built for African remittance analysis - unusually detailed corridor-level data.,Pan-African Source,Country-level,English and French,No,Live,High
57,Data Africa,https://dataafrica.io/,https://dataafrica.io/,Africa (sub-Saharan),"Visual data platform covering agriculture, poverty, health and climate at sub-national level for several African countries.",Academic / Research institute,Agriculture / Health / Poverty,IFPRI and partners,"CSV, PNG/JPG, Online",Free access,Irregular,2019,Strong sub-national granularity; update cadence has slowed.,Pan-African Source,Sub-national,English and French,No,Live,High
58,ICPAC - IGAD Climate Prediction and Applications Centre,https://www.icpac.net/,https://www.icpac.net/,East Africa / Horn of Africa,"Regional climate monitoring, seasonal forecasts, drought watch and climate data services for Eastern Africa.",International / Regional body,Climate / Weather,IGAD Climate Prediction and Applications Centre,"NetCDF, CSV, PNG/JPG, Online, API",Free access,Monthly / Seasonal,2026,The authoritative seasonal forecast source for the Horn of Africa.,Pan-African Source,Country-level,English and French,Yes,Live,High
59,IHME - Global Burden of Disease Results Tool,https://vizhub.healthdata.org/gbd-results/,https://www.healthdata.org/,Global,"Comprehensive disease burden estimates - deaths, DALYs, YLLs, risk factors - by country, age, sex and cause, with full African coverage and long time series.",Academic / Research institute,Health,"Institute for Health Metrics and Evaluation, University of Washington","CSV, Online, API",Free access,Every 2-3 years (GBD cycle),2026,"Modelled estimates, which fill gaps where African vital registration is weak. Automated check was blocked by the site (bot protection, TLS or robots.txt) on 18 Sep 2026; the page opens normally in a browser.",Pan-African Source,Country-level,English,Yes,Live - auto-check blocked,High
60,Institute for Security Studies (ISS) Africa,https://issafrica.org/,https://issafrica.org/,Africa,"African peace, security, governance and organised crime research, plus the African Futures and Innovation forecasting platform.",Academic / Research institute,Security / Governance,Institute for Security Studies,"PDF, Online",Free access,Continuous,2026,The African Futures platform (futures.issafrica.org) offers long-range African scenario data.,Pan-African Source,Country-level,English and French,No,Live,High
61,ISS African Futures and Innovation,https://futures.issafrica.org/,https://issafrica.org/,Africa (54 countries),"Long-range forecasts of African development, demographics, economy, governance and security to 2043 using the IFs model.",Academic / Research institute,Development forecasting,Institute for Security Studies,"Excel, PNG/JPG, Online",Free access,Periodic,2026,One of the very few African long-range scenario datasets.,Pan-African Source,Country-level,English and French,No,Live,High
62,IGAD,https://igad.int/,https://igad.int/,Horn of Africa (8 member states),"Regional data on drought resilience, food security, migration, climate and peace and security for the Horn of Africa.",International / Regional body,Climate / Food security / Migration,Intergovernmental Authority on Development,"PDF, Online",Free access,Continuous,2026,IGAD's climate prediction centre (ICPAC) is the useful data arm.,Pan-African Source,Country-level,English and French,No,Live,High
63,ILOSTAT,https://ilostat.ilo.org/data/,https://www.ilo.org/,Global,"The global labour statistics database: employment, unemployment, informality, wages, working poverty, child labour and labour productivity for African countries.",International,Labour / Employment,International Labour Organization,"CSV, Excel, Online, API",Free access,Annual / Quarterly,2026,The informality indicators are particularly important for African labour market analysis.,Pan-African Source,Country-level,English,Yes,Live,High
64,ILOSTAT - Africa Data,https://ilostat.ilo.org/data/africa/,https://www.ilo.org/,Africa,Africa-focused view of ILO labour statistics with regional aggregates and country profiles.,International,Labour / Employment,International Labour Organization,"CSV, Excel, Online",Free access,Annual,2025,,Pan-African Source,Country-level,English and French,No,Live,High
65,AfriData (JHUB Africa),https://afridata.jhubafrica.com/,https://jhubafrica.com/,Africa,African data sharing platform connecting datasets across sectors for research and innovation use.,Private,Multiple,JHUB Africa,"CSV, Online",Free access,At will,2026,"Automated check was blocked by the site (bot protection, TLS or robots.txt) on 18 Sep 2026; the page opens normally in a browser.",Pan-African Source,Country-level,English and French,No,Live - auto-check blocked,High
66,Mastercard Foundation - Research and Data,https://mastercardfdn.org/en/our-research/,https://mastercardfdn.org/,Africa,"Youth employment, education and financial inclusion research across African countries, including the Young Africa Works data.",NGO / Foundation,Youth / Employment / Education,Mastercard Foundation,"PDF, Online",Free access,Periodic,2026,Strong on African youth employment evidence. CORRECTED: /research/ returned 404; the live path is /our-research/.,Pan-African Source,Country-level,English and French,No,Live,High
67,Mo Ibrahim Index of African Governance (IIAG),https://iiag.online/data.html,https://mo.ibrahim.foundation/,Africa (54 countries),"Composite governance index for all 54 African countries across security, participation, rights, economic opportunity and human development, with 20-year time series.",NGO / Non-profit research,Governance,Mo Ibrahim Foundation,"Excel, CSV, PNG/JPG, Online",Free access,Biennial,2022,The single best Africa-specific governance dataset. Cleaned link - the sheet's URL carried a long filter string.,Pan-African Source,Country-level,English and French,No,Live,High
68,AfterFibre / Network Startup Resource Center,https://afterfibre.nsrc.org/,https://nsrc.org/,Africa,Open map and dataset of terrestrial fibre optic network infrastructure across African countries.,Academic / Non-profit,Telecoms / Infrastructure,"Network Startup Resource Center, University of Oregon","Shapefile, KML, Online",Free access,Periodic,2025,The most complete open African terrestrial fibre dataset.,Pan-African Source,Country-level,English and French,No,Live,High
69,Oafrica - African Internet Statistics,https://www.oafrica.com/data/,https://www.oafrica.com/,Africa,"Long-running compilation of African internet, mobile and ICT penetration statistics by country.",Private,Telecoms / Internet,Oafrica,Online,Free access,Irregular / Largely archival,2016,Updates have slowed considerably - treat as a historical archive rather than current data.,Pan-African Source,Country-level,English and French,No,Live,High
